wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
12.12	1.495	0.026	0.008	0.012
12.14	1.496	0.026	0.008	0.012
12.16	1.495	0.026	0.008	0.012
12.18	1.495	0.026	0.008	0.012
12.20	1.495	0.026	0.008	0.012
12.22	1.494	0.026	0.008	0.012
12.24	1.494	0.027	0.008	0.012
12.26	1.494	0.027	0.008	0.012
12.28	1.493	0.027	0.008	0.012
12.30	1.494	0.028	0.009	0.012
12.32	1.493	0.028	0.008	0.012
12.34	1.493	0.029	0.008	0.012
12.36	1.493	0.029	0.008	0.012
12.38	1.493	0.029	0.008	0.013
12.40	1.493	0.030	0.008	0.012
12.42	1.493	0.030	0.008	0.012
12.44	1.493	0.030	0.008	0.012
12.46	1.494	0.030	0.008	0.012
12.48	1.494	0.030	0.007	0.012
12.50	1.494	0.030	0.008	0.012
12.52	1.494	0.030	0.007	0.012
12.54	1.494	0.030	0.008	0.012
12.56	1.494	0.030	0.007	0.012
12.58	1.494	0.030	0.008	0.012
12.60	1.494	0.030	0.007	0.012
12.62	1.494	0.030	0.008	0.013
12.64	1.494	0.030	0.007	0.013
12.66	1.494	0.030	0.008	0.013
12.68	1.494	0.030	0.007	0.013
12.70	1.494	0.030	0.007	0.013
12.72	1.494	0.030	0.007	0.013
12.74	1.494	0.030	0.007	0.013
12.76	1.494	0.030	0.007	0.013
12.78	1.495	0.030	0.007	0.013
12.80	1.495	0.030	0.007	0.013
12.82	1.494	0.030	0.007	0.013
12.84	1.495	0.030	0.007	0.013
12.86	1.495	0.030	0.007	0.013
12.88	1.495	0.029	0.006	0.013
12.90	1.495	0.029	0.007	0.013
12.92	1.495	0.029	0.006	0.013
12.94	1.495	0.029	0.006	0.013
12.96	1.496	0.028	0.006	0.013
12.98	1.495	0.028	0.006	0.013
13.00	1.495	0.028	0.006	0.013
13.02	1.495	0.028	0.006	0.013
13.04	1.495	0.027	0.006	0.013
13.06	1.494	0.027	0.006	0.013
13.08	1.494	0.027	0.006	0.013
13.10	1.494	0.027	0.006	0.013
13.12	1.494	0.027	0.006	0.013
13.14	1.494	0.027	0.006	0.013
13.16	1.494	0.027	0.006	0.013
13.18	1.494	0.027	0.006	0.013
13.20	1.494	0.027	0.005	0.013
13.22	1.494	0.027	0.005	0.013
13.24	1.494	0.027	0.005	0.013
13.26	1.494	0.027	0.005	0.013
13.28	1.494	0.027	0.005	0.013
13.30	1.494	0.027	0.005	0.013
13.32	1.494	0.027	0.005	0.013
13.34	1.494	0.027	0.005	0.013
13.36	1.494	0.026	0.004	0.013
13.38	1.493	0.026	0.004	0.012
13.40	1.493	0.026	0.005	0.012
13.42	1.493	0.026	0.004	0.012
13.44	1.493	0.026	0.004	0.012
13.46	1.493	0.026	0.005	0.012
13.48	1.493	0.026	0.005	0.012
13.50	1.493	0.026	0.005	0.012
13.52	1.493	0.026	0.005	0.012
13.54	1.493	0.026	0.005	0.012
13.56	1.493	0.026	0.004	0.012
13.58	1.493	0.026	0.004	0.012
13.60	1.493	0.026	0.004	0.012
13.62	1.492	0.026	0.004	0.012
13.64	1.492	0.026	0.004	0.012
13.66	1.493	0.026	0.005	0.012
13.68	1.493	0.026	0.005	0.012
13.70	1.493	0.026	0.005	0.012
13.72	1.493	0.026	0.005	0.012
13.74	1.493	0.025	0.004	0.012
13.76	1.493	0.025	0.004	0.012
13.78	1.493	0.025	0.004	0.012
13.80	1.493	0.025	0.004	0.012
13.82	1.492	0.025	0.004	0.012
