wavelength(microns)	real_part(n)	imaginary_part(k)	standard_deviation(n)	standard_deviation(k)
13.56	1.473	0.001	0.030	0.001
13.58	1.472	0.001	0.031	0.001
13.60	1.472	0.001	0.031	0.001
13.62	1.471	0.001	0.032	0.001
13.64	1.470	0.001	0.033	0.001
13.66	1.470	0.001	0.033	0.001
13.68	1.469	0.001	0.034	0.001
13.70	1.469	0.001	0.034	0.001
13.72	1.468	0.001	0.035	0.001
13.74	1.468	0.001	0.035	0.001
13.76	1.467	0.001	0.035	0.001
13.78	1.466	0.001	0.035	0.001
13.80	1.466	0.001	0.036	0.001
13.82	1.465	0.001	0.036	0.001
13.84	1.465	0.001	0.036	0.001
13.86	1.464	0.001	0.037	0.001
13.88	1.464	0.001	0.037	0.001
13.90	1.464	0.001	0.038	0.001
13.92	1.463	0.001	0.039	0.001
13.94	1.463	0.001	0.039	0.001
13.96	1.462	0.001	0.040	0.001
13.98	1.462	0.001	0.040	0.001
14.00	1.461	0.001	0.040	0.001
14.02	1.461	0.001	0.041	0.001
14.04	1.460	0.001	0.041	0.001
14.06	1.460	0.001	0.041	0.001
14.08	1.459	0.001	0.041	0.001
14.10	1.459	0.001	0.041	0.001
14.12	1.459	0.001	0.041	0.001
14.14	1.458	0.001	0.041	0.001
14.16	1.458	0.001	0.041	0.001
14.18	1.457	0.001	0.041	0.001
14.20	1.457	0.001	0.042	0.001
14.22	1.456	0.001	0.042	0.001
14.24	1.456	0.001	0.042	0.001
14.26	1.455	0.001	0.042	0.001
14.28	1.455	0.001	0.043	0.001
14.30	1.454	0.001	0.043	0.001
14.32	1.454	0.001	0.043	0.001
14.34	1.454	0.001	0.043	0.001
14.36	1.453	0.001	0.043	0.001
14.38	1.453	0.001	0.043	0.001
14.40	1.452	0.001	0.043	0.001
14.42	1.452	0.001	0.043	0.001
14.44	1.452	0.001	0.043	0.001
14.46	1.451	0.001	0.043	0.001
14.48	1.451	0.001	0.043	0.001
14.50	1.450	0.001	0.043	0.001
14.52	1.450	0.001	0.043	0.001
14.54	1.449	0.001	0.042	0.001
14.56	1.449	0.001	0.043	0.001
14.58	1.449	0.001	0.043	0.001
14.60	1.448	0.001	0.043	0.001
14.62	1.448	0.001	0.043	0.001
14.64	1.447	0.001	0.044	0.001
14.66	1.447	0.001	0.044	0.001
14.68	1.447	0.001	0.046	0.001
14.70	1.446	0.001	0.046	0.001
14.72	1.446	0.001	0.048	0.001
14.74	1.445	0.001	0.049	0.001
14.76	1.445	0.001	0.051	0.001
14.78	1.444	0.001	0.052	0.001
14.80	1.444	0.001	0.054	0.001
14.82	1.443	0.001	0.055	0.001
14.84	1.443	0.001	0.057	0.001
14.86	1.443	0.001	0.058	0.001
14.88	1.442	0.001	0.062	0.001
14.90	1.442	0.001	0.064	0.001
14.92	1.441	0.001	0.070	0.001
14.94	1.441	0.001	0.074	0.001
14.96	1.440	0.001	0.086	0.001
14.98	1.439	0.001	0.099	0.001
15.00	1.438	0.001	0.139	0.001
